GeneSymbol;logFC;AveExpr;t;P.Value;adj.P.Val;B;ProbeID
IFT57;-0.210444998;5.603423431;-2.724056187;0.007738409;0.027512332;-3.093266431;8089314
IFT70A;-0.027494649;4.185080399;-0.375865153;0.707896384;0.806736962;-6.565170946;8056999
IFT70B;0.061455404;3.06882846;0.709212563;0.480014903;0.623399623;-6.386057624;8056995
IFT74;-0.273113569;4.259781964;-3.026625116;0.003219958;0.013684231;-2.302276549;8154670
IFT80;0.139648216;6.512175636;1.860875401;0.066007225;0.147352504;-4.946996111;8091737
IFT81;0.15105831;4.705351545;1.788533797;0.077034692;0.165506167;-5.073466437;7958620
IFT88;0.053604736;4.864442531;0.765837418;0.445765008;0.592785942;-6.344800168;7967933
IFTAP;-0.075721268;3.183562619;-1.292747095;0.199387785;0.336576188;-5.812477297;7939411
IGBP1;-0.058359033;6.287017601;-0.981908179;0.328761675;0.480086651;-6.158742866;8168087
IGBP1P1;0.096296067;2.443156921;1.51377263;0.13356667;0.250255465;-5.510907379;7973900
IGDCC3;0.115158367;3.91535515;3.265052291;0.001545759;0.007557074;-1.63153706;7989770
IGDCC4;-0.043724;3.430586053;-0.942596325;0.348395804;0.499818043;-6.195955002;7989785
IGF1;-0.83626958;5.1626123;-3.071594259;0.002811717;0.012252297;-2.178895312;7965873
IGF1R;-0.414139953;7.084103164;-3.956295018;0.000151054;0.001161948;0.529606372;7986383
IGF2;-0.34025238;4.948466701;-1.580422925;0.117497427;0.227744946;-5.411101352;7937772
IGF2-AS;-0.188345559;3.952344114;-2.824053901;0.005831707;0.021974695;-2.83951293;7937774
IGF2BP1;0.040131691;3.551470905;1.034574556;0.3036231;0.454136847;-6.106559604;8008151
IGF2BP2;0.780994649;4.69288853;5.813225119;9.07E-08;2.87E-06;7.594022384;8092552
IGF2BP2-AS1;0.049620207;2.118123519;1.597268544;0.113690332;0.222095425;-5.385231829;8084627
IGF2BP3;1.191676368;3.364089469;6.75284481;1.35E-09;9.72E-08;11.64624425;8138566
IGF2R;0.211375672;7.363179512;3.188001632;0.001967367;0.009179878;-1.8527257;8123181
